index,gameId,gameDuraton,blueWins,blueFirstBlood,blueFirstTower,blueFirstBaron,blueFirstDragon,blueFirstInhibitor,blueDragonKills,blueBaronKills,blueTowerKills,blueInhibitorKills,blueWardPlaced,blueWardkills,blueKills,blueDeath,blueAssist,blueChampionDamageDealt,blueTotalGold,blueTotalMinionKills,blueTotalLevel,blueAvgLevel,blueJungleMinionKills,blueKillingSpree,blueTotalHeal,blueObjectDamageDealt,redWins,redFirstBlood,redFirstTower,redFirstBaron,redFirstDragon,redFirstInhibitor,redDragonKills,redBaronKills,redTowerKills,redInhibitorKills,redWardPlaced,redWardkills,redKills,redDeath,redAssist,redChampionDamageDealt,redTotalGold,redTotalMinionKills,redTotalLevel,redAvgLevel,redJungleMinionKills,redKillingSpree,redTotalHeal,redObjectDamageDealt
gameId,1.0,-0.02546842926835605,-0.005385143761691548,-0.010942393075622564,0.004411484216248744,-0.023028578744022195,-0.015300422025914856,-0.006664958515163962,-0.013351284357664266,-0.022253101745943644,-0.019476354084171227,0.0008939710451070106,-0.08346443137210022,-0.05245130459140514,-0.015259247541277656,-0.014959289501116465,0.027354979660254162,0.009711732979957624,-0.027175148622016143,-0.06290658120254579,0.005505876742568781,0.0055058767425675845,-0.0359703707573606,-0.004878354455352536,0.007880967039436566,-0.026894726553989716,0.005385143761690842,0.010233217384897887,-0.0065645412266390245,-0.03490498266912615,-0.02253911958424573,-0.0016736396010335992,-0.022303208101806245,-0.03899000476305764,-0.020629096086190533,-0.0027626743141290133,-0.0816662120128049,-0.061249875536559736,-0.014943386229201551,-0.015082513566244753,0.03104081589897865,0.011026711729021739,-0.026877446230666673,-0.05894185797449077,0.007164139840913912,0.007164139840911737,-0.038405004029819084,-0.008651606167344478,0.012081353662840865,-0.03688882513745551
gameDuraton,-0.02546842926835605,1.0,-0.0014144503726329016,-0.002982286288323997,0.055433115238142185,0.3953125443485248,0.07931669728487656,0.20759181369219165,0.48053706798260204,0.5014987409198655,0.43129559790068644,0.2936276928489592,0.8406848642592007,0.8049570081511167,0.36672382648574525,0.3740594758645342,0.3370855914286182,0.6846588112760147,0.7768349578031368,0.9006998437416791,0.7553768952964595,0.7553768952964567,0.7995188646888766,0.3264436671578151,0.7054973953232928,0.6403892254172207,0.0014144503726327968,0.014910198821878221,0.01162418207667195,0.41749172300167886,0.12600753927752084,0.20111924453412977,0.5134611847672061,0.528711300479494,0.4296946204154627,0.2946417932211491,0.8407591121054908,0.806385927862279,0.3749611679623182,0.3655489189432832,0.34290415474999597,0.6868160150826379,0.7775564826937067,0.9032117137951161,0.7594822130634376,0.7594822130634455,0.796047272272336,0.33557419858326454,0.7069172516952738,0.6354807515135673
blueWins,-0.005385143761691548,-0.0014144503726329016,1.0,0.2064418048300384,0.44906531282442275,0.366721546324398,0.2677776706447428,0.6375206684942121,0.4664420110663082,0.35504752282753704,0.7084053050812694,0.5543674726184423,0.03754196006489565,0.07048457934812005,0.453521172044525,-0.43978161226645396,0.37297445799912093,0.18018049854369889,0.2764810403351193,0.07885347447624035,0.22612674336981878,0.2261267433698163,0.20772590965420437,0.42045110209377684,0.21569512482572953,0.5250942326534811,-0.9999999999999994,-0.20734083998669836,-0.44674242202108255,-0.39406585044749604,-0.2679976260476031,-0.6228109231364755,-0.46740744772486864,-0.3810367349919574,-0.7093057828698204,-0.5474569390062981,-0.05004423976315042,-0.0876046507002207,-0.4417987549850734,0.4515369521054727,-0.35622982657891467,-0.1736928432649227,-0.2707332730917017,-0.08311706925198414,-0.215334619468614,-0.21533461946861493,-0.23126377117754282,-0.4116010463887538,-0.22214039004827796,-0.5481357848870313
blueFirstBlood,-0.010942393075622564,-0.002982286288323997,0.2064418048300384,1.0,0.2092550560641563,0.05768515902565526,0.13371124276195254,0.14676565233075783,0.1355533164198155,0.04744906285271699,0.18287903278431272,0.12012605434291722,0.007325100653826411,0.013368198254777147,0.13187112875376272,-0.15295488810031374,0.08235450463280473,0.03344606199311777,0.06834654819075615,0.02970311514196858,0.04568486011573325,0.04568486011573335,0.05681218831247951,0.12315884205824422,0.021933385405522702,0.1388779737356859,-0.2064418048300384,-0.9959934391952373,-0.20656560706067872,-0.06183880781150519,-0.12702617650304618,-0.1401931341933483,-0.1373145959468798,-0.05367534012633378,-0.18077473020175092,-0.1157539494371738,-0.015520080179513817,-0.024864635883336542,-0.15365992125073863,0.13108204357968195,-0.10288380596365275,-0.061780900350361496,-0.09084417729003634,-0.03031555856388027,-0.05768770810528886,-0.05768770810528881,-0.05651855317877012,-0.14313396242395038,-0.04398744145959093,-0.1471833787259598
blueFirstTower,0.004411484216248744,0.055433115238142185,0.44906531282442275,0.2092550560641563,1.0,0.13487539176134544,0.1956632856342804,0.3449175678804807,0.2865556079076371,0.11245374581423896,0.4661193908487294,0.28706728803162335,0.06666454025734385,0.0926756421181091,0.2743189957606184,-0.23211190538156345,0.18182665209998597,0.12573658693212952,0.2052843217021244,0.1151469303664462,0.16517613142059615,0.1651761314205956,0.18996688325462302,0.26550271525599556,0.11076484579190998,0.37179362733419297,-0.44906531282442225,-0.2050369891414449,-0.9768364620006742,-0.11534298908665722,-0.16665657431794717,-0.3198662879817332,-0.23426490198548267,-0.08737454126727438,-0.41470985486977524,-0.26628335452511287,0.02318238316702575,-0.010242643548538637,-0.2332919112959832,0.2729219540464316,-0.14017227910997768,-0.06761696961062186,-0.12001002768607877,-0.006552437065316771,-0.05344339403953076,-0.05344339403953081,-0.110689887201,-0.22732218314988573,-0.04705858117097518,-0.30929697591025995
blueFirstBaron,-0.023028578744022195,0.3953125443485248,0.366721546324398,0.05768515902565526,0.13487539176134544,1.0,0.11656295859616853,0.4240437338706253,0.4032336675619042,0.8800558413394746,0.5296673437506698,0.4073305858781712,0.39960356342755177,0.3878448167312264,0.299191852731359,-0.047176550204268426,0.2423077701988856,0.3136907082404939,0.4288764527425832,0.38737988889774916,0.3972014585996162,0.3972014585996134,0.4702421663392054,0.26377157349128333,0.37637060110967163,0.6337393573737291,-0.36672154632439785,-0.05540600555087775,-0.12177306926392974,-0.34262254046965424,-0.012060779007715787,-0.22569236858329325,0.05016679339151991,-0.21878043679042203,-0.12436478648953413,-0.17549082888791626,0.3598957211345328,0.3111732635669908,-0.047412037458864374,0.2980740415794372,-0.05374623766502255,0.17297904630182304,0.18017105336145775,0.37389404548078287,0.18740701520887137,0.18740701520887418,0.2481080916214912,-0.04814538714085113,0.16469552247802258,-0.005931735617796302
blueFirstDragon,-0.015300422025914856,0.07931669728487656,0.2677776706447428,0.13371124276195254,0.1956632856342804,0.11656295859616853,1.0,0.16354022243814112,0.5839256396786913,0.10872534096502742,0.26787337311056836,0.11598824405696834,0.15653807592806804,0.12076171741644263,0.0819482871335874,-0.2181865472060248,-0.023810990399549474,0.0069384087437187126,0.07744196652877171,0.1685487895548144,0.04214988365631565,0.04214988365631521,0.24373117958995957,0.06119049247399341,0.08593698993945795,0.32854319921772207,-0.2677776706447431,-0.1303948448945692,-0.1774973164827889,-0.04084035715653523,-0.8331769817761452,-0.17838364950531452,-0.39217494507690775,-0.02928640010255082,-0.1705061027166419,-0.15158800742539444,0.11464720955130939,0.07831707372810735,-0.21828538425936245,0.0810572362588625,-0.22056121105897045,-0.10330118534228615,-0.10124507576630169,0.10149689880712573,-0.09556632144148615,-0.09556632144148554,0.044031625344843194,-0.2206268723967525,-0.061352220809289135,-0.14734999110998476
blueFirstInhibitor,-0.006664958515163962,0.20759181369219165,0.6375206684942121,0.14676565233075783,0.3449175678804807,0.4240437338706253,0.16354022243814112,1.0,0.4102780181290256,0.40636439576642697,0.7795783706708109,0.7952595730738435,0.1519923796684548,0.1722459243517681,0.48879377754214115,-0.14488276718662157,0.4368876957816339,0.35048823647246274,0.42865864021525096,0.18394291045823719,0.38235465716322453,0.3823546571632214,0.28271729764609876,0.44751056471597894,0.33243873441774113,0.5651748400816058,-0.6375206684942117,-0.14371342194047168,-0.32759860065123164,-0.24454993415891643,-0.18266232473189947,-0.5570852035493757,-0.2515712940995817,-0.19994982556649304,-0.42928551368692025,-0.3910335531954698,0.09539047341596572,0.05849354424642983,-0.1471543187477968,0.48727491174386345,-0.08472260784376605,0.08485911312236141,0.03590375730258991,0.0995500648904204,0.08349186801061761,0.08349186801061788,-0.0731327917758811,-0.13838417932328112,0.008530052919393533,-0.2958345264091024
blueDragonKills,-0.013351284357664266,0.48053706798260204,0.4664420110663082,0.1355533164198155,0.2865556079076371,0.4032336675619042,0.5839256396786913,0.4102780181290256,1.0,0.44491653853142266,0.6167228031016948,0.3978238267079566,0.5210191590017804,0.4987084008655038,0.3352463602531897,-0.16829609258579517,0.20424214374794486,0.33595526729719905,0.46468764428148324,0.5320843643305729,0.3972691647246606,0.39726916472465823,0.6484872344787608,0.28455510108793686,0.4514241352090767,0.7868444612147507,-0.4664420110663081,-0.131085598781013,-0.2613777648791862,0.024835388566396686,-0.37275447953572144,-0.25191323739125326,-0.30419917781262207,0.08957609288549152,-0.1615030136748308,-0.1817509799788925,0.4685405159873229,0.3897320381511705,-0.16820528271526086,0.3334695848155145,-0.16744699086924383,0.14006403379953297,0.1652797476910489,0.46263990650759423,0.1646500163190655,0.16465001631906742,0.3099137423019711,-0.1731535877141163,0.1710469902233281,-0.026545475221557528
blueBaronKills,-0.022253101745943644,0.5014987409198655,0.35504752282753704,0.04744906285271699,0.11245374581423896,0.8800558413394746,0.10872534096502742,0.40636439576642697,0.44491653853142266,1.0,0.5481184910117778,0.4546024762535214,0.48476280187261955,0.46535956739517836,0.33249482603023667,0.015489908570389361,0.2830458148081484,0.404906580910071,0.516807391999925,0.4661517836265894,0.468861810739042,0.4688618107390404,0.5412691422595644,0.2927467023076788,0.4687359819522295,0.7086953219509813,-0.3550475228275365,-0.045156135679004526,-0.09924021166017978,-0.22241399943813758,-0.003759940323282844,-0.18441897257555392,0.1110920707708494,-0.12713834288120318,-0.05973729206488561,-0.12002309101681424,0.44483752006156685,0.3934944781233201,0.015334886220942307,0.3313062743518884,0.004844991716290943,0.2738529045703633,0.2823308234102914,0.45729563087969616,0.26967785151479506,0.26967785151479856,0.33619271527614897,0.011594529183624054,0.2605380062261837,0.0825515584598538
